srsName;srsDimension;ns1:id2;ns2:gyldigFra;ns2:gyldigTil;ns2:lokalId;ns2:navnerom;ns2:versjonId;ns1:id3;nettnavn;ns1:pos;breddegrad;lengdegrad;ns2:banekortnavn;ns2:banenavn;ns2:baneformål;ns2:banestatus;ns2:sporkilometer;ns2:stasjonstype;ns2:stasjonsnavn
urn:ogc:def:crs:EPSG::4258;2;idba919153-49b8-49b7-aa6d-023d37cd5d62;10.11.1935 00:00;;e195baca-7f3a-4477-9859-ae6152a13c0f;http://skjema.geonorge.no/SOSI/produktspesifikasjon/Banenettverk/1.0;1;idba919153-49b8-49b7-aa6d-023d37cd5d62-0;Hovednettet;58.6575569891775 8.63013460049333;58.65755699;8.6301346;ADLB;Arendalsbanen;P;I;281.41;S;Nelaug
urn:ogc:def:crs:EPSG::4258;2;id02f08bab-6fc5-4bad-935b-bae4e7375e83;18.12.1910 00:00;;20b0b446-56e0-400b-9f51-bb7fa68f0251;http://skjema.geonorge.no/SOSI/produktspesifikasjon/Banenettverk/1.0;1;id02f08bab-6fc5-4bad-935b-bae4e7375e83-0;Hovednettet;58.6362188205898 8.68080133541056;58.63621882;8.680801335;ADLB;Arendalsbanen;P;I;285.84;I;Flaten
urn:ogc:def:crs:EPSG::4258;2;id74cdbf22-d72d-4f3a-abd1-9816fd02589d;18.12.1910 00:00;;f0a615ac-46aa-4dd7-a2ec-0a10eac43382;http://skjema.geonorge.no/SOSI/produktspesifikasjon/Banenettverk/1.0;1;id74cdbf22-d72d-4f3a-abd1-9816fd02589d-0;Hovednettet;58.5766170332508 8.70583092928397;58.57661703;8.705830929;ADLB;Arendalsbanen;P;I;293.28;I;Bøylestad
urn:ogc:def:crs:EPSG::4258;2;iddbdadb67-1a0a-44e4-8646-c4479d4b38c0;23.11.1908 00:00;;c02b8697-2b9e-49d3-b77f-e714a870d5fd;http://skjema.geonorge.no/SOSI/produktspesifikasjon/Banenettverk/1.0;1;iddbdadb67-1a0a-44e4-8646-c4479d4b38c0-0;Hovednettet;58.529495034198 8.65441174577789;58.52949503;8.654411746;ADLB;Arendalsbanen;P;I;299.51;I;Froland
urn:ogc:def:crs:EPSG::4258;2;idfa2e91f9-1e9d-4535-bef1-9bc9152a3401;25.08.1989 00:00;;bcacad32-02df-46e6-adad-941ca011f025;http://skjema.geonorge.no/SOSI/produktspesifikasjon/Banenettverk/1.0;1;idfa2e91f9-1e9d-4535-bef1-9bc9152a3401-0;Hovednettet;58.5075089312291 8.64862103103652;58.50750893;8.648621031;ADLB;Arendalsbanen;P;I;302.5;I;Blakstad
urn:ogc:def:crs:EPSG::4258;2;id8cd57d35-2589-4055-8b07-378e5afede80;16.09.1907 00:00;;60a02355-bb2f-4b2f-b799-3ade2953af23;http://skjema.geonorge.no/SOSI/produktspesifikasjon/Banenettverk/1.0;1;id8cd57d35-2589-4055-8b07-378e5afede80-0;Hovednettet;58.4683952405777 8.62372848370135;58.46839524;8.623728484;ADLB;Arendalsbanen;P;I;307.44;I;Rise
urn:ogc:def:crs:EPSG::4258;2;id042360de-4c40-4731-96aa-69b0d36de10c;23.11.1908 00:00;;bc0b329c-0b41-4dea-a705-255030b20a3e;http://skjema.geonorge.no/SOSI/produktspesifikasjon/Banenettverk/1.0;1;id042360de-4c40-4731-96aa-69b0d36de10c-0;Hovednettet;58.4626985813551 8.68957620149623;58.46269858;8.689576201;ADLB;Arendalsbanen;P;I;312.52;I;Bråstad
urn:ogc:def:crs:EPSG::4258;2;idd16b71d8-f749-4ae1-8709-d362eebaf09a;18.12.2008 00:00;;617b8288-222b-401a-b2c2-35d64d8f16b2;http://skjema.geonorge.no/SOSI/produktspesifikasjon/Banenettverk/1.0;1;idd16b71d8-f749-4ae1-8709-d362eebaf09a-0;Hovednettet;58.4660179110638 8.70921367408321;58.46601791;8.709213674;ADLB;Arendalsbanen;P;I;313.792;I;Stoa
urn:ogc:def:crs:EPSG::4258;2;id627b9486-12d0-43b6-a35a-0da341dafeb9;23.11.1908 00:00;;3e0eec39-6263-405a-9259-2e272d3752ae;http://skjema.geonorge.no/SOSI/produktspesifikasjon/Banenettverk/1.0;1;id627b9486-12d0-43b6-a35a-0da341dafeb9-0;Hovednettet;58.4650353285915 8.76964167499652;58.46503533;8.769641675;ADLB;Arendalsbanen;P;I;317.62;S;Arendal
urn:ogc:def:crs:EPSG::4258;2;idf705e717-8494-47c1-97cc-27e519b2bf84;1872-10-07T00:00:00;;41e05441-5b96-4161-a44d-be468b473b4a;http://skjema.geonorge.no/SOSI/produktspesifikasjon/Banenettverk/1.0;1;idf705e717-8494-47c1-97cc-27e519b2bf84-0;Hovednettet;59.9134802007289 10.6378396752117;59.9134802;10.63783968;ASRBn;Askerbanen nord;P;I;7;S;Lysaker
urn:ogc:def:crs:EPSG::4258;2;iddf24a1d4-8ded-4da3-b645-5db21f54dc62;1872-10-07T00:00:00;;f1aef3c9-a9de-49fd-a676-134b6e9b14e1;http://skjema.geonorge.no/SOSI/produktspesifikasjon/Banenettverk/1.0;1;iddf24a1d4-8ded-4da3-b645-5db21f54dc62-0;Hovednettet;59.8926768818181 10.5246104789937;59.89267688;10.52461048;ASRBn;Askerbanen nord;P;I;14;S;Sandvika
urn:ogc:def:crs:EPSG::4258;2;iddf24a1d4-8ded-4da3-b645-5db21f54dc62;1872-10-07T00:00:00;;f1aef3c9-a9de-49fd-a676-134b6e9b14e1;http://skjema.geonorge.no/SOSI/produktspesifikasjon/Banenettverk/1.0;1;iddf24a1d4-8ded-4da3-b645-5db21f54dc62-0;Hovednettet;59.8926768818181 10.5246104789937;59.89267688;10.52461048;ASRBs;Askerbanen sør;P;I;14.14;S;Sandvika
urn:ogc:def:crs:EPSG::4258;2;ide3fabef5-1481-41d1-8fa2-423270532507;1872-10-07T00:00:00;;362f5727-39a7-4f97-858d-cf0ec2c8446d;http://skjema.geonorge.no/SOSI/produktspesifikasjon/Banenettverk/1.0;1;ide3fabef5-1481-41d1-8fa2-423270532507-0;Hovednettet;59.8343079871119 10.4354721434226;59.83430799;10.43547214;ASRBs;Askerbanen sør;P;I;23.1;S;Asker
urn:ogc:def:crs:EPSG::4258;2;id004e0cfa-7b88-424a-8520-da6ffe6263d5;1868-10-13T00:00:00;;345aaca8-325c-4edb-8b29-8274f882b643;http://skjema.geonorge.no/SOSI/produktspesifikasjon/Banenettverk/1.0;1;id004e0cfa-7b88-424a-8520-da6ffe6263d5-0;Hovednettet;60.1695294386966 10.2495723737785;60.16952944;10.24957237;BRGBo;Bergensbanen øst;B;I;89.57;S;Hønefoss
urn:ogc:def:crs:EPSG::4258;2;id3d06a5bd-3a35-49d2-a016-a60ba567b89c;21.12.1907 00:00;;153b8060-ee4c-4d14-9f45-6a11a69460c6;http://skjema.geonorge.no/SOSI/produktspesifikasjon/Banenettverk/1.0;1;id3d06a5bd-3a35-49d2-a016-a60ba567b89c-0;Hovednettet;60.4321487847324 9.47342866455574;60.43214878;9.473428665;BRGBo;Bergensbanen øst;P;I;152;S;Flå
urn:ogc:def:crs:EPSG::4258;2;id11461111-dae6-425a-80bd-b6e0c120ba54;21.12.1907 00:00;;ab14673b-98f5-407e-8f4f-f5e88902e9c3;http://skjema.geonorge.no/SOSI/produktspesifikasjon/Banenettverk/1.0;1;id11461111-dae6-425a-80bd-b6e0c120ba54-0;Hovednettet;60.5768331908823 9.11322238481111;60.57683319;9.113222385;BRGBo;Bergensbanen øst;B;I;185.42;S;Nesbyen
urn:ogc:def:crs:EPSG::4258;2;idf7d5a0ef-a39a-4740-9be0-95e7209512ce;21.12.1907 00:00;;6fdf1080-db9a-4a8b-9ea6-bb5f60a11337;http://skjema.geonorge.no/SOSI/produktspesifikasjon/Banenettverk/1.0;1;idf7d5a0ef-a39a-4740-9be0-95e7209512ce-0;Hovednettet;60.6990564829451 8.97140178533407;60.69905648;8.971401785;BRGBo;Bergensbanen øst;P;I;202.38;S;Gol
urn:ogc:def:crs:EPSG::4258;2;id2f907c61-972d-4705-8061-04a0287287a1;21.12.1907 00:00;;8ff4c3af-a246-4f3f-af7c-f3ce223314e0;http://skjema.geonorge.no/SOSI/produktspesifikasjon/Banenettverk/1.0;1;id2f907c61-972d-4705-8061-04a0287287a1-0;Hovednettet;60.6262594570048 8.5623562381378;60.62625946;8.562356238;BRGBo;Bergensbanen øst;P;I;228.21;S;Ål
